Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,AST,AUS,AVT,AWS,BAS,BGP,BJM,BKO,BNE,BPE,BPM,CAD,CAS,CCS,CFA,CHI,CIP,CISA,CISP,CISSP,CLS,CMS,COG,CON,DAR,DBA,DET,DEV,DFT,DLS,DMT,DOC,DPS,DRP,EAI,ECR,EFM,EGI,ELE,ESD,ESS,ETH,GBC,GIS,GOV,GPD,GSS,GTP,HAC,HAU,HDT,HSM,HTM,IAA,IBX,IEG,IFW,IMG,INF,INT,IPS,ISM,ISS,ITA,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,JVD,LDA,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSQ,MSS,MUL,MWC,NDN,NET,NSM,OAC,OAN,OAS,OAT,OCP,ODB,ODT,OKD,OOA,OPF,OPL,OPM,OPV,OUT,PDE,PDS,PHP,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,RAD,REP,RHEL,RHS,ROU,SAA,SAN,SDH,SDN,SIEM,SIM,SMG,SPE,SQL,SRA,SRS,SST,SVT,SYB,TAS,TCP,TOM,TPA,TWS,ULS,UNX,VBC,VLS,VMG,VPN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WLG,WLM,WLT,WME,WNT,WSV,XML,CRY,DAM,GWIN,IDA,MSI,NEC,STM
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33958,Contract Systems Analyst (Bid Ref 54405-1),1,1,Application Development,Contract,07 May 2025,02 Jun 2025 to 31 Aug 2025 (2 months),under InfoTech,Government T26 Contract,"Housing Authority Headquarters, 33 Fat Kwong Street, Homantin",N/A - N/A,"""(T26) Implementation, enhancement and support for a web-based and mobile application in Housing Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;To participate in the implementation and enhancement projects for the web-based and mobile application including requirements collection, system analysis and design, application development, testing and program deployment, etc. ;To lead programmers for providing enhancement, maintenance and support services. ;To liaise with end users and internal IT support teams for project implementation and maintenance support services. ;""",10.0,1.0,"""Proficient in web and mobile application development using J2EE and Oracle database. ;Good analytical, communication (verbal and written) and interpersonal skills. ;Hand-on experience on open source tools (Eclipse, Jenkins, Apache JMeter, Gitea) is an advantage. ;Works under minimal supervision and performs duties independently. ;Technical Skills: ;. At least 8 years' experience in J2EE Development (JDE); ;. At least 7 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 6 years' experience in Oracle RDBMS (ODB); ;. 1 year's experience in Wireless and Mobile (WLM) is an advantage. ;Non-technical Skill: ;. 2 years' experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,23 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33958"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,JAF,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WLM,,,,,,,,,,,,
33959,Contract Systems Analyst (Bid Ref 54402-1),1,1,Others,Contract,07 May 2025,02 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,Ho Man Tin,N/A - N/A,"""(T26) Support the implementation projects and on-going maintenance of existing application systems for the Estate Management Division (EMD) of Housing Authority (HA). The involved systems manage and maintain a wide range of properties comprising public rental housing, interim housing flats, and office buildings/premises of HA.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- Provide internal support to oversee the implementation and on-going maintenance of systems by outsource contractors ;- Provide support on requirement study ;- Support users on data analysis and system acceptance testing ;- Review project deliverables to ensure quality and security compliance meeting required departmental IT policies and guidelines ;- Support production deployment and rollout activities ;- Support change control ;- Perform tasks assigned by supervisors ;""",4.0,3.0,"""As per the skill and experience required, the applicant should possess hands-on experience. ;The applicant should be capable to work independently under pressure with tight schedule. ;Experience and knowledge in any of the following is an advantage: ;- ISO20000 ;- Development of mobile application ;- Configuration/automation tools, e.g. Gitea, Jenkins, Docker container ;- Geographic Information System (GIS) ;- Experience in system about Asset Management ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in Structured Query Language (SQL). ;Non-technical Skills: ;. At least 3 years' experience in IT service/outsourcing management (OUT); ;. At least 3 years' experience in vendor management (VMG); ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,23 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33959"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,SQL,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,
33953,Contract Systems Analyst (Bid Ref 54360-1),1,1,Others,Contract,06 May 2025,02 Jul 2025 to 27 Feb 2026 (7 months),under InfoTech,Government T26 Contract,"Tseung Kwan O, Wanchai and occasionally provide support at Immigration sites.",N/A - N/A,"""(T26) Application support and enhancement on the Computer Output Management System (COMS-2) and Operations Intelligence System (OPIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To carry out various enhancement and subsequent 7x24 on-call support on COMS-2 and OPIS which include: ;(a) provide technical support and problem diagnosis for the COMS-2 and OPIS; ;(b) provide production maintenance support of system infrastructure and application; ;(c) provide IT advice and evaluate technical solutions and perform analysis for the enhancement support; ;(d) provide IT advice and monitor performance of contractors on maintenance of COMS-2 and OPIS; ;(e) provide enhancement support of OPIS system for new statistical reports compilation; ;(f) provide support on storage upgrade for existing COMS-2 and tidying up of COMS-2 equipment areas in Wan Chai after relocation exercise; ;(g) perform study for the next generation of COMS-2; ;(h) execute and assure the proper change management; and ;(i) other duties assigned by supervisor. ;""",4.0,1.0,"""The candidate shall possess the following essential technical skills: ;- Solid experience in administrating various operation system including Linux and Windows; ;- Hands-on experience in configuring various IBM Tivoli components including TEC, ITM, Netview, TSM, and other system components such as Hyper-V, Nagios and Veeam; ;- Solid experience in supporting the application for content and reporting management; and ;- Good communication skills and vendor management skills; ;- At least 2 years' experience in IT security, Linux system administration, SAN and Windows Server 2008/2012; ;- Good coordination skills is a must; ;Criminal record check will be required. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,3978 8032,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33953"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33945,Contract Systems Analyst (Bid Ref 54335-1),1,1,Others,Contract,02 May 2025,09 Jun 2025 to 30 Sep 2025 (3 months),under InfoTech,Government T26 Contract,Hong Kong Island,N/A - N/A,"""(T26) Provide technical support and helpdesk services for the """"IT Innovation Lab in Schools"""" Programme. Needs to communicate and collaborate with the school community.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The main job duties are as follows: ;- Answer both technical and general queries from schools, provide helpdesk support and professional advices to schools to assist them in organising and conducting IT-related extra-curricular activities (ECAs), such as activity design, procurement of hardware, software, cloud services and training courses, etc. ;- Coordinate with schools and provide assistance to them in submitting funding applications (including the pre-application vetting), annual reports and financial reports. ;- Coordinate inter-schools ECAs, conduct school surveys, support promotion activities, and pay visits to schools if necessary. ;- Conduct research/study and evaluate hardware/software/professional services related to the organisation of IT-related ECAs in schools. ;- Work with other technical support teams to maintain the web content of the thematic portal and various e-Forms. ;- Any other duties assigned by the supervisors. ;- In addition, he/she may be required to work in non-office hours on need basis. ;""",4.0,1.0,"""- Sound experience in providing customer supports, helpdesk supports and consultancy services. ;- Experience in handling of funding application of government funding scheme is preferable. ;- Experience in providing operation supports to systems which are using government e-Forms and integrated with the government authentication and signing system is preferable. ;- Rich knowledge of information technology (including cyber security). ;- Good knowledge of emerging technologies (such as artificial intelligence, cloud services, big data, Internet of Things, augmented reality, virtual reality, robotics building/coding, etc.) is preferable. ;- Experience in website content management and updating, and development of e-Forms, is preferable. ;- Experience in organising events (such as exhibitions, seminars, etc.) and providing event supports is preferable. ;- Good command of written and spoken Chinese and English. ;- Good communication and interpersonal skills. ;Technical Skills: ;. At least 1 year's experience in Web Hosting, Design and Maintenance (WED); ;. 1 year's experience in IT Application Development and Management (ADM) is an advantage; ;. 1 year's experience in Electronic Form (EFM) is an advantage; ;. 1 year's experience in System Implementation and Maintenance/Support (SIM) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in customer service (CLS); ;. At least 1 year's experience in customer relations (ECR); ;. At least 1 year's experience in helpdesk call handling (HDT); ;. Good spoken English is a must; ;. Good written English is a must; ;. 1 year's experience in IT advisory and promotion, e.g. exhibition, publication (APR) is an advantage; ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in IT in the community e.g. promote the use of IT/IT awareness (ITC) is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,3978 8032,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33945"")",,ADM,APR,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,ECR,EFM,,,,,,,,GOV,,,,,,HDT,,,,,,,,,,,,,,ITC,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,WED,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33869,Contract Systems Analyst (Bid Ref 54271-1),1,1,Others,Contract,23 Apr 2025,30 May 2025 to 29 Jun 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) Operation network infrastructure support and maintenance for a web-based application, Registration and Access Control System (RACS) for data centres.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. To perform on-going system administration and support on the Windows and Linux server systems, networking infrastructure for RACS, such as, authentication server, monitoring server, load balancers, network routers, network switches, and firewalls etc; ;2. To plan, coordinate and implement a project to migrate the virtualisation software from VMWare to alternative hypervisor; ;3. To provide 7 x 24 on-call support and is required to perform support in data centres, and user offices; ;4. To perform the tasks assigned by line manager. ;""",4.0,1.0,"""The candidate must possess solid experience in administration and support on Windows server, server virtualization on VMWare and other virtualisation platforms and networking equipment. Furthermore, the candidate should have experience in network and system management. ; ;Criminal record verification by the Hong Kong Police Force is required. ;Technical Skills: ;. At least 2 years' experience in Authentication Server (AUS); ;. At least 2 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Network & System Management (NSM); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skills: ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33869"")",,,,,AUS,,,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INF,,,,,,,,,,,,,,,,,,,LIN,,,,,,MGP,,,,,,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,
33062,Contract Systems Analyst (Bid Ref 53533-2),2,1,Others,Contract,23 Apr 2025,19 May 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) The project is for the implementation and maintenance of a digital identity system (the System) which consists of cloud-based backend systems and mobile apps. The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users. The project team will be responsible for the platform operations and maintenance, quality assurance of application programs, system/infrastructure security, and monitor the contractor teams on resolutions and system enhancement works.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CSA will be required to: ;1. support application build, deploy, release and quality assurance of application programs developed by the contractor teams; ;2. support handling of mobile app reviews and optimisation of mobile app ratings; ;3. support preparation of reports related to mobile app usage and download statistics; ;4. support issue/incident handling and troubleshooting in particular for the mobile app and system infrastructure of the System; ;5. work with the contractor teams to maintain the System's applications including both backend and mobile applications for bug fixing and enhancement; ;6. assist supervisor in preparing technical specifications and operational manual for the System; and ;7. any other duties assigned by the supervisors. ;""",4.0,1.0,"""The candidate should possess: ;1. sound knowledge and solid experience in mobile apps shielding and release; ;2. good understanding on mobile app rating optimisation; ;3. sound knowledge and solid experience in SDLC and DevOps; and ;4. sound knowledge and solid experience in application security, in particular facial recognition, OCR and deepfake attack detection. ; ;The candidate preferably possess: ;1. strong sense of analytical and problem-solving skills; ;2. good command of English and writing skills; ;3. good coordination and communication skills; and ;4. Putonghua communication skills. ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in IT Security (ITS); ;. At least 3 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in MySQL (MSQ); ;. At least 3 years' experience in Public Key Infrastructure (PKI); ;. 2 years' experience in Linux System Administration (LIN) is an advantage; ;. 2 years' experience in Cryptography (CRY) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. 2 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. Good spoken English is an advantage; ;. Good Putonghua is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33062"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,GSS,,,,,,,,,,,,,,,,,,,,,ITS,,,,,JAV,,,,,LIN,,,,,,,,,MSQ,,,,,,,,,,,,,,,,,,,,,,,,PKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRY,,,,,,
33863,Contract Systems Analyst (Bid Ref 54305-1),1,1,Application Development,Contract,23 Apr 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,"2/F, East Wing, 88 Victoria Road, Kennedy Town, Hong Kong",N/A - N/A,"""(T26) - Development & application of information technology, artificial intelligence technology, relevant infrastructure and database systems in EID""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the EPD; ;1. Deploy relevant technologies to solve business problems, including but not limited to artificial intelligence, Digital payment, Electronic Identity (eID), Remote sensing devices, Internet of Things (IoT), drones, big data analytics, CCTV, GIS, etc. ;2. Oversee ongoing IT enhancement systems for waste handling facilities of the Environmental Protection Department, including but not limited to electronic weighbridge system, sensors for real time monitoring of the safe operation and environmental performance of the waste handling facilities, real-time recording of CCTV footage and the integrated data platform. ;3. Liaise with IT team members, users and site operators (e.g., Landfill, RTS) for system development, enhancements, and maintenance. And to provide technical advice and support to improve the performance of the existing IT server at EPD's site office to support operational requirements and business need. ;4. Maintain the smooth operation of the centralized integrated data platform. ;5. Prepare contracts for hiring IT service providers ;6. Any duties as assigned by supervisors. ;""",4.0,1.0,"""1. With an accredited associate degree or a higher diploma in information technology from a Hong Kong or overseas tertiary education institute; ;2. At least 3 years of experience in IT system development and implementation, or data center operation and management; ;3. Proficient in project management, including writing of project proposal or progress report, operation and monitoring of IT projects, feasibility and technical studies, system analysis; ;4. At least 3 years of experience in maintaining Government Systems & Services; ;5. With knowledge in Government IT Security standards, tendering and procurement procedures; ;6. With experience in system programing, particularly with the experience in managing VSan and VMware and GCIS (Government Cloud) is preferable; ;7. At least 3 years of experience in managing streaming, infrastructure development. ;8. At least 1 years of experience in implementation of projects related to data pipelines and analysis ;Technical Skills: ;. At least 3 years' experience in Information Security Management (ISM); ;. At least 3 years' experience in Network & System Management (NSM); ;. At least 3 years' experience in Data Administration (DAM); ;. 1 year's experience in Infrastructure (INF) is an advantage; ;. 1 year's experience in Oracle RDBMS (ODB) is an advantage; ;. 1 year's experience in IT Operational Management (OPM) is an advantage; ;. 1 year's experience in System Implementation and Maintenance/Support (SIM) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in project management (PRM); ;. At least 3 years' experience in contract administration (CON); ;. At least 3 years' experience in Government procurement/disposal procedures (GPD); ;. Good written English is an advantage; ;. 3 years' experience in IT Service Management (SMG) is an advantage; ;. 3 years' experience in software testing (STM) is an advantage; ;. 3 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33863"")",,,,,,,,,,,,,,,,,,,,,,,,,,,CON,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,INF,,,ISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSM,,,,,,ODB,,,,,,OPM,,,,,,,,,,,PRM,,,,,,,,,,,,,,,SIM,SMG,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,DAM,,,,,STM
