Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,AST,AUS,AVT,AWS,BAS,BDM,BGP,BIM,BKO,BNE,BPM,CAD,CAS,CCNP,CCS,CCSA,CFA,CHI,CIP,CISA,CISP,CISSP,CLS,CMS,CMSG,COG,CON,DAM,DAR,DBA,DET,DEV,DFT,DLS,DMO,DMS,DMT,DPS,DRP,DWH,EAI,ECR,EDR,EFM,EGI,ELE,ERP,ESS,ETH,GBC,GCIS,GIS,GOV,GPD,GSS,GTP,GWIN,HAC,HAU,HDT,HSM,HTM,IAA,IBX,IEG,IFW,IMG,INF,INT,IPS,ISD,ISM,ITA,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,JVD,LDA,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSA,MSQ,MSS,MUL,MWC,NDN,NDR,NEC,NEG,NET,NSE,NSM,OAC,OAN,OAS,OAT,ODB,ODT,OOA,OPF,OPL,OPM,OPV,ORA,OUT,PDE,PHP,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,RAD,RAS,REP,RHEL,RHS,ROU,SAA,SAN,SDH,SDM,SDN,SIM,SPE,SQL,SRA,SRAA,SRS,SST,STA,STM,SVT,SYB,TAS,TCP,TOM,TPA,TWS,ULS,UML,UNX,VBC,VDI,VLS,VMG,VPN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WLG,WLM,WLT,WME,WNT,WPG,WSV,WXP,XML,BJM,ESD,ISS,OCP,OKD,PDS,SIEM
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33979,Contract Systems Analyst (Bid Ref 54423-1),1,1,Others,Contract,09 May 2025,02 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,Ho man tin,N/A - N/A,"""(T26) Support the implementation projects and on-going maintenance of existing application systems for the Estate Management Division (EMD) of Housing Authority (HA).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- Provide support to oversee the implementation and on-going maintenance of systems by outsource contractors ;- Provide system design, development, system support and maintenance on internal application systems ;- Conduct feasibility study on applying new technologies to business ;- Analyse system inefficiencies and propose solutions for system improvement ;- Provide support on requirement study and system analysis ;- Support users on system acceptance testing ;- Review project deliverables to ensure quality and security compliance meeting required departmental IT policies and guidelines ;- Support production deployment and rollout activities ;- Support change control ;- Perform tasks assigned by supervisors ;""",6.0,3.0,"""As per the skill and experience required, the applicant should possess hands-on experience. ;The applicant should be capable to work independently under pressure with tight schedule. ;Experience and knowledge in any of the following is an advantage: ;- Geographic Information System (GIS) ;- Building Information Modelling (BIM) ;- Business analysis experience ;- Data analysis platform ;- Configuration/automation tools, e.g. Gitea, Jenkins, Docker container ;- Internet of Things (IoT) ;- Experience in system about Asset Management ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in Structured Query Language (SQL). ;Non-technical Skills: ;. At least 3 years' experience in IT service/outsourcing management (OUT); ;. At least 3 years' experience in vendor management (VMG); ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,25 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33979"")",,ADM,,,,,,,,,BIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,SIM,,SQL,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,
33992,Contract Systems Analyst (Bid Ref 54403-1),1,1,Others,Contract,12 May 2025,23 Jun 2025 to 13 Mar 2026 (8 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) System support for the Government Central Gateway (GCG) System of Government Electronic Trading Services (GETS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;- To perform on-going system administration and support for the GCG system of GETS, including Gateway servers, Database servers, Message Authentication servers and other supporting servers;;- To work with GETS Service Providers on operation issues of GETS;;- To implement enhancement and improvement of GCG System; ;- To provide 24x7 on-call support and perform support in data centres; and ;- To perform the tasks assigned by the line manager. ;""",4.0,1.0,"""- With solid experience in system administration and support on Linux system, server virtualisation technology, SAN and NAS storage system. The staff is required to have experience in supporting ebXML messaging system.;- Criminal record checking is required. ;Technical Skills: ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Storage Area Network (SAN); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. At least 3 years' experience in XML (XML); ;. At least 2 years' experience in Tomcat Application Server (TOM); ;. 1 year's experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. Good coordination skills is an advantage; ;. 6 months' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 6 months' experience in managing Government projects (MGP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,28 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33992"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,LIN,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,SVT,,,,TOM,,,,,,,,,,,,,,,,,,,,,,,,,,,XML,,,,,,,
31349,Contract Senior Systems Analyst (Bid Ref 52814-3),3,1,Others,Contract,12 May 2025,19 May 2025 to 30 Sep 2025 (4 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To assist the Judiciary in taking forward the design and development work for the implementation of projects under the IT Strategy Plan.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the Judiciary; ;The candidate will be responsible for the ;- Collaborate across functions to design architecture, deploy new systems, and revamp existing systems; ;- Engage in hands-on development of front-end frameworks; ;- Evaluate emerging technologies, tools, and frameworks to support software development activities; ;- Conduct functional requirement analysis, program design, coding, and testing for software applications; and ;- Prepare system and program documentation. ;""",6.0,3.0,"""Other than the requirements specified in the 'Technical' and 'non-Technical' Requirement Sections below. ;- Bachelor's degree in Computer Science, Information Systems or equivalent; ;- At least 5 years post-qualification experience related to application development/maintenance; ;- In-depth knowledge and hands-on experience in React/Web Component, UI implementation, and JavaScript web application development are required; ;- Experience in developing React application is preferred; ;- Good knowledge and programming skills in the latest web technologies, such as JavaScript, React, HTML5, CSS3 are required; and ;- Desire to research and use new technology. ;Technical Skills: ;. At least 5 years' experience in HTML5 (HT5); ;. At least 5 years' experience in JavaScript Programming (JAP); ;. At least 5 years' experience in Web Services (WSV). ;Non-technical Skills: ;. Good written English is a must; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,28 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31349"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSV,,,,,,,,,
33973,Contract Systems Analyst (Bid Ref 54321-1),1,1,Others,Contract,08 May 2025,17 Jun 2025 to 16 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Cyberport (Pok Fu Lam),N/A - N/A,"""(T26) This is a CSA position responsible for the support in the relocation project of Government Cloud Infrastructure Services (GCIS), which provides Infrastructure-as-a-Service (IaaS), Database-as-a-Service (DBaaS) and Container-as-a-Service (CaaS) to Government mission critical systems of B/Ds, from the existing data centres to new Government Data Centre Complex (GDCC). The CSA will also provide client advisory and technical support to B/Ds on the migration of their IT systems from GCIS to GDCC.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;(i) To provide technical advice on technical design and infrastructure setup of GCIS in GDCC; ;(ii) To provide technical advice on the relocation of GCIS from existing data centres to the newly setup GCIS in GDCC and subsequent migration of IT systems of B/Ds; ;(iii) To monitor and coordinate with the contractor for the design, implementation and migration for the GCIS relocation; ;(iv) To coordinate the migration of existing IT systems from GCIS to GDCC; and ;(v) To monitor migration processes and review project document and deliverables of contractors. ;""",4.0,1.0,"""1. The candidate must possess the following working experience: ;(i) at least three-year working experience in configuration and management of virtual machines and hosts in large scale (at least 50 virtual machines at the same time) on VMware server virtualization environment with VMware vSphere and VMware vCenter; ;(ii) at least two-year working experience in server support, Storage Area Network (SAN) storage, and VM backup and replication solution; ;(iii) solid working experience in cloud migration between different VMware platforms; and ;(iv) solid working experience in design and setting up cloud infrastructure. ; ;2. The candidate must possess the following certification: ;- VMware Certified Professional in Data Center Virtualization 2023 or above. ;- VMware Certified Professional in Network Virtualization 2023 or above. ; ;3. Holder of the following certification is an advantage: ;- Huawei Certified ICT Professional -Storage (or equivalent). ; ;The candidate must be able to communicate in written and verbal English and Chinese to deliver his/her duties. ;Technical Skills: ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in System Backup Operation (BKO); ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Storage Area Network (SAN). ;Non-technical Skills: ;. At least 2 years' experience in customer service (CLS); ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33973"")",,,,,,,,,,,,BKO,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,INF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33981,Contract Senior Systems Analyst (Bid Ref 54362-1),1,1,Application Development,Contract,12 May 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,"Sham Shui Po, Kowloon",N/A - N/A,"""(T26) The staff shall provide application maintenance and production support services to the Interim Valuation System (IVS), especially on the support of the Oracle online and batch programs, in the Rating and Valuation Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the R&VD; ;The major job duties are: ;- Provide Maintenance support and enhancement to the IVS, especially on the support of the Oracle online and batch programs; ;- Amend and compile related program specifications and other documentation; ;- Lead CSA and programmers to develop/amend programs and support User acceptance test; and ;- Any other duties related to the system development life cycle. ;""",7.0,4.0,"""The staff shall have rich hands-on experience on Oracle application development, Oracle database, Oracle development tools, IBM AIX Unix and Chinese processing with/in the Government. He/she shall also possess application development and/or maintenance experience in property assessment or related subject areas. ;Technical Skills: ;. At least 5 years' experience in IBM AIX Unix (IBX); ;. At least 5 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL); ;. At least 5 years' experience in Oracle Application Development (ORA); ;. At least 5 years' experience in Chinese Processing (CHI); ;. 5 years' experience in Data Administration (DAM) is an advantage; ;. 5 years' experience in Structured Query Language (SQL) is an advantage; ;. 5 years' experience in XML (XML) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in the management and support of Government systems and services (GSS); ;. At least 3 years' experience in project development in specified business areas (PDE). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,28 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33981"")",,,,,,,,,,,,,,,,,,,,,CHI,,,,,,,,,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,GSS,,,,,,,,,IBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,OPL,,,ORA,,PDE,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XML,,,,,,,
33975,Contract Systems Analyst (Bid Ref 54257-1),1,1,Others,Contract,09 May 2025,23 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,Immigration Headquarters (ImmD HQs) at Tseung Kwan O and occasionally support at designated location,N/A - N/A,"""(T26) Technical advice for the security upgrade of iAM Smart Checking System and production support for administrative systems.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;The staff will be assigned to the project team for providing technical advice for the security upgrade of iAM Smart Checking System and production support for administrative systems. Tasks include: ;(a) to conduct technical assessment on application innovation of IT products for security upgrade; ;(b) to perform impact analysis on system infrastructure designs and data migration; ;(c) to provide IT advice on site preparation, infrastructure setup and system performance tuning; ;(d) to provide production system support and coordination for iAM Smart Checking System and administrative systems; ;(e) to coordinate system integrations with other systems in ImmD; ;(f) to monitor contractors' work and provide advice on contractors' deliverables; ;(g) to provide technical on-site support for production systems; ;(h) to carry out production problem diagnosis and consequent resolutions; ;(i) to take up round-the-clock on-call duty for the technical support; and ;(j) to perform any other duties as may be required. ;""",4.0,1.0,"""The CSA should possess solid experience in supporting production of mission critical systems and assessing various application innovation of IT products. The CSA should be analytical in problem solving, and able to work independently. ; ;The CSA will normally work in the ImmD HQs at Tseung Kwan O. Also, the CSA will be occasionally required to provide support at various Immigration offices and work outside office hours. ; ;Criminal record check is required. ;Technical Skills: ;. At least 5 years' experience in Infrastructure (INF); ;. At least 4 years' experience in Linux System Administration (LIN); ;. At least 4 years' experience in Multi-vendor Mission Critical System (MCS); ;. At least 4 years' experience in Server Virtualisation Technology (SVT). ;Non-technical Skill: ;. At least 3 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,25 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33975"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,INF,,,,,,,,,,,,,,,,,,,LIN,,,,MCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33984,Contract Senior Systems Analyst (Bid Ref 54365-1),1,1,Application Development,Contract,12 May 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,"Sham Shui Po, Kowloon",N/A - N/A,"""(T26) The staff is mainly responsible for application maintenance and support for the Integrated Property Database (IPDB) and the Document Management System (DocMS) in the department. He/she also needs to provide support for other systems.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the R&VD; ;The major job duties are:;- Provide maintenance and support for IPDB and DocMS;;- Serve as the second line support for the Customer Management Information System (CMIS) and Data Alignment Measures System (DAM);;- Perform system analysis and design;;- Keep relevant program specifications and other documentation up to date;;- Lead programmers to develop/amend programs and support user acceptance tests; and;- Any other duties assigned by supervisor. ;""",7.0,4.0,"""The staff shall have rich hands-on experience in geographic information system (GIS) application, Oracle database and JAVA programming with/in the Government. Experience in application development and/or maintenance of applications relating to property rating and valuation or related subject areas will be an advantage. ;Technical Skills: ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 5 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL); ;. At least 5 years' experience in Geographic Information System (GIS); ;. 2 years' experience in IBM AIX Unix (IBX) is an advantage; ;. 2 years' experience in JavaScript Programming (JAP) is an advantage; ;. 2 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in the management and support of Government systems and services (GSS); ;. At least 3 years' experience in project development in specified business areas (PDE). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,28 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33984"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,GOV,,GSS,,,,,,,,,IBX,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,OPL,,,,,PDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33982,Contract Senior Systems Analyst (Bid Ref 54363-1),1,1,Application Development,Contract,12 May 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,"Sham Shui Po, Kowloon",N/A - N/A,"""(T26) To participate in the application development, maintenance and implementation of the Property Information Online for providing the public with 24 hours online access to the property information.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the R&VD; ;- Conduct system analysis and design and prepare related documentation and specifications.;- Develop and implement the databases with relevant data for the property information related online applications.;- Conduct System Integration Test and User Acceptance Test.;- Provide ongoing support and maintenance on the delivered online applications.;- Involve in the Oracle Database Administration to ensure that the database system running smoothly. ;""",7.0,4.0,"""- Minimum 8 years IT experience in developing web applications.;- Must have at least 4 years involved in the system analysis and design work during system development and implementation.;- Have at least 3 years hands on application development experience in using Java, Oracle, SQL and Unix. ;Technical Skills: ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 5 years' experience in Oracle Application Development (ORA); ;. At least 5 years' experience in Structured Query Language (SQL); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in SSADM (SDM); ;. 1 year's experience in Chinese Computing Standards, eg.HKSCS,Big5,Unicode (CCS) is an advantage; ;. 1 year's experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 1 year's experience in JBoss Application Server (JAS) is an advantage; ;. 1 year's experience in XML (XML) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in the management and support of Government systems and services (GSS); ;. Good coordination skills is a must; ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in quality assurance (QAS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,28 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33982"")",,,,,,,,,,,,,,,,,,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,GSS,,,,,,,,,,,,,,,,,,,,,,,,JAF,,JAS,JAV,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,ORA,,,,,,,,,,,,,QAS,,,,,,,,,,SDM,,SIM,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XML,,,,,,,
33955,"Contract Systems Analyst (Bid Ref 54399-1) - SQL, GCIS, Linux",1,1,Application Development,Contract,06 May 2025,15 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) New System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To design and setup infrastructure in Government Cloud Infrastructure Services (GCIS); ;- To perform system analysis & design, development and testing; ;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- Possess the following skills and hands-on experience: ;. At least 2 years of experience as Systems Analyst and 6 years of experience in IT; ;. Solid experience in GCIS; ;. Solid experience in SQL; ;. Solid experience in Linux System Administration。 ; ;Technical Skills: ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in EGIS (EGI). ; ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ; ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,3978 8022,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33955"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
