Job Key No,Job Title/ Category,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL
33038,Contract Systems Analyst (Bid Ref 53527-1),1,Application Development,Contract,03 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) The project is for the enhancement implementation and maintenance of a digital identity system (the System). The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users. The project team will be responsible for developing and supporting enhancement features of iAM Smart System and mobile application.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CSA will be required to: ;- provide application maintenance and support; ;- design and develop enhancements for iAM Smart system; ;- develop frontend and backend functions such as mobile application user interfaces, RESTful API endpoints, etc.; ;- monitor the contractor teams to implement enhancement including both backend and mobile applications; and ;- any other duties assigned by the supervisors. ;""",4.0,1.0,"""The candidate should possess experience in: ;- system design, development, implementation and maintenance of IT application systems using web services and RESTful APIs; ;- Application development using Java programming language; ;- Mobile application development, including Android, iOS, and Harmony OS; ;- mini-program infrastructure and application development of uni-app framework for mini-program; ;- Web services including APIs, RESTful services, etc.; ;- MySQL; and ;- Virtualisation technology and MySQL/MariaDB database support. ;The candidate preferably possesses: ;- experience in version control system (e.g. Git); ;- experience in working in government IT projects; ;- Good sense of analytical and problem-solving skills; ;- Good command of English and Chinese writing skills; and ;- Good communication and interpersonal skills. ;Technical Skills: ;. At least 2 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in HTML5 (HT5); ;. At least 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in MySQL (MSQ); ;. At least 2 years' experience in Web Services (WSV); ;. At least 1 year's experience in IT Security (ITS); ;. At least 1 year's experience in Cryptography (CRY). ;Non-technical Skills: ;. Good written English is a must; ;. 1 year's experience in project development in specified business areas (PDE) is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33038"")"
32982,Contract Systems Analyst (Bid Ref 52939-1),1,Others,Contract,06 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Yau Ma Tei / Mong Kok / Kwun Tong / Taikoo,N/A - N/A,"""(T26) System Development and Support""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the BD; ;a. Conduct the duties and act as the Project Administrator for the computer project(s) assigned by the BD, including but not limited to:;i. the revamp of the Virtual Private Network;ii. Central Managed Messaging Platform;;b. Assist the Systems Manager / Internal Project Manager in the following capacities:;i. Deliver the computer project(s) within budget and time;;ii. Estimate the budget and monitor the resources and expenditures of the computer project(s);;iii. Plan and control all phases of the computer project(s) including, but not limited to, feasibility study, privacy impact analysis, systems analysis and design, procurement and installation of computer systems, site preparation, programming, implementation, security risk assessment and audit, privacy impact analysis, system nursing and maintenance related all computer systems life cycle activities and service delivery;;iv. Plan and conduct procurement activities including, but not limited to, the acquisition of necessary implementation services, hardware and software, services for security risk assessment and audit, and privacy impact analysis;;v. Develop project management plans and quality control parameters and perform quality control and assurance of all project deliverables;;vi. Manage outsourcing contracts/vendors for computer project(s);;vii. Liaise with project stakeholders (including users, in-house computer operators and outsourced vendors,) for requirement study, implementation and ongoing activities support;;viii. Assist supervisors in managing outsourcing services including quality assurance of deliverables, and service acceptance;;ix. Participate in procurement processes of IT systems, products and services;;x. Research on updated technology, and support supervisors in providing technical advice to management, users or community as appropriate.;;c. As a System Administrator role in system maintenance and support for the following IT Infrastructure Systems:;i. Virtualization Platform Management:;- Perform regular maintenance including patching and monitoring of our ESXi virtualization platform.;- Ensure smooth operation of virtual machines and troubleshoot any issues that may arise.;- Manage hardware maintenance, including upgrades and repairs as needed.;- Implement backup strategies in Veeam and disaster recovery plans for virtualized environments. ;ii. Active Directory Administration:;- Administer and maintain the Active Directory infrastructure.;- Configure and troubleshoot AD-related issues, including Group Policy, and Registry settings.;- Monitor the health and performance of Active Directory services (e.g. sysvol).;iii. File Server and Key Management Server:;- Manage and maintain the file server infrastructure, ensuring efficient and secure file storage and access.;- Monitor file server performance and address any issues that arise.;iv. Firewall and Proxy Server Administration:;- Configure, monitor and maintain the organization's firewall and proxy server infrastructure.;- Handle change requests, troubleshoot and resolve any firewall or proxy-related issues.;v. Software Distribution System:;- Implement and manage the software distribution system.;- Coordinate and deploy Windows updates and patches in the Buildings Department.;- Monitor the software distribution process and troubleshoot any failures.;vi. Splunk Administration:;- Administer and maintain the Splunk platform.;- Monitor and analyze system logs and data for security and operational purposes.;- Create and manage alerts, dashboards, and reports based on data analysis. ;""",6.0,3.0,"""(i) At least six years of IT working experience including at least three years of solid working experience in system implementation /maintenance and support of computer projects;;(ii) Have good knowledge in Active Directory, IT Infrastructure or Server Virtualisation;;(iii) Have good communication and interpersonal skills;;(iv) Preferable to have at least three years of solid working experience in the implementation of IT projects and maintenance of IT systems in government;;(v) Any bids that fail to meet the above requirements and the mandatory requirements or the proposed candidate(s) cannot report duty on 1 April 2025 would not be considered. ;Technical Skills: ;. At least 2 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 2 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Infrastructure (INF); ;. At least 1 year's experience in System Backup Operation (BKO); ;. 2 years' experience in Internet Firewall Technical Support (IFW) is an advantage; ;. 2 years' experience in IT Application Development and Management (ADM) is an advantage; ;. 2 years' experience in Virtual Private Network (VPN) is an advantage; ;. 2 years' experience in Office Automation (OAN) is an advantage; ;. 1 year's experience in Windows Server 2008/2012 (W12) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. Good coordination skills is a must; ;. 1 year's experience in IT procurement (PRO) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32982"")"
33022,Contract Systems Analyst (Bid Ref 52999-1),1,Others,Contract,10 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Ho Man Tin Government Offices and Grand City Plaza in Tsuen Wa,N/A - N/A,"""(T26) Manage the maintenance and support for Audit Inspection & Management System (AIMS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HyD; ; Perform system upgrade for AIMS. ; Provide technical support for AIMS. ; Supervise and provide system maintenance & support for AIMS. ; Monitor, facilitate and implement the enhancement for AIMS. ; Prepare and update system related documents. ; Perform any other duties as assigned by the supervisor. ;""",8.0,6.0,"""Please refer to technical requirement. ;Besides, the staff will need to work at Ho Man Tin Government Offices and Grand City Plaza in Tsuen Wan as when required. ;Technical Skills: ;. At least 7 years' experience in MS ASP.NET (MSA); ;. At least 7 years' experience in Web Services (WSV); ;. At least 6 years' experience in Microsoft SQL Server (MSS); ;. At least 6 years' experience in Structured Query Language (SQL); ;. 3 years' experience in Visual Studio. Net (VSN) is an advantage; ;. 3 years' experience in PDA (PDA) is an advantage. ;Non-technical Skill: ;. 2 years' experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33022"")"
33104,Contract Systems Analyst (Bid Ref 53670-1),1,Others,Contract,14 Mar 2025,01 Apr 2025 to 30 Sep 2025 (5 months),under InfoTech,Government T26 Contract,Cheung Sha Wan Government Offices,N/A - N/A,"""(T26) To plan and implement information security enhancement and related projects and provide technical support on IT infrastructure in the SFO.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WFSFAA-SFO; ;i) The staff is required to plan, implement and manage the projects of information security enhancement with major duties including but not limited to the following:;- To plan and implement new IT security initiative and measure;;- To support and operate the IT security products such as SIEM, MFA and EDR;;- To manage and conduct IT security activities such as penetration test, vulnerability scan;;- To assist IT equipment procurement activities;;- To review and update IT security documents;ii) The staff is required to liaise with internal staff and IT contractors for outsourced implementation services and on-going support activities;;iii) The staff is required to provide technical advice / support to end users and management; and;iv) The staff is required to work overtime occasionally ;""",5.0,3.0,"""- At least 5 years experience in requirement analysis, system support;;- Strong knowledge in area of Network Security, Application Security, Security Regulation and Compliance;;- Solid Experience on IT infrastructure support and network operation;;- Hands on experience on managing SIEM tool (Splunk), MFA, EDR and NDR;;- Hands on experience on operateing Nexus Tenable and OWASP ZAP;;- Experience on Security Risk Assessment such as Vulnerability Scan and Penetration Test;;- Technical knowledge of cutting edge IT security solutions such as DLP, XDR, SOAR;;- Experience on container, DevOps and IT cloud infrastructure would be an advantage ;Technical Skills: ;. At least 5 years' experience in Information Security Management (ISM); ;. At least 5 years' experience in Linux System Administration (LIN); ;. At least 5 years' experience in Network & System Management (NSM); ;. At least 5 years' experience in Security Risk Assessment and Audit (SAA); ;. 1 year's experience in IT Security Scanning Tools (SST) is an advantage; ;. 1 year's experience in Server Virtualisation Technology (SVT) is an advantage; ;. 1 year's experience in TCP/IP (TCP) is an advantage; ;. 1 year's experience in Windows Server 2008/2012 (W12) is an advantage; ;. 1 year's experience in IT Operational Management (OPM) is an advantage; ;. 1 year's experience in IT Security (ITS) is an advantage; ;. 1 year's experience in Infrastructure (INF) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 1 year's experience in managing Government IT standards (ITG); ;. 1 year's experience in IT procurement (PRO) is an advantage; ;. 1 year's experience in IT Service Management (SMG) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage; ;. 1 year's experience in IT audit (ITA) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,28 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33104"")"
32878,Contract Systems Analyst (Bid Ref 53532-1),1,Others,Contract,05 Mar 2025,02 May 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) Monitor the System Analysis & Design (SA&D) and Implementation of a IT system in C&ED""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the C&ED; ;1. To provide technical advices to users on infrastructure requirements and design of the IT system to support business requirements; ;2. To supervise the contractors / suppliers to design the infrastructure architecture and implement the IT system; ;3. To perform quality control and quality assurance in the SDLC; and ;4. To perform any works assigned by supervisor. ;""",4.0,2.0,"""The candidate should have: ;- Solid experience in the whole system development life cycle of an IT system; ;- Solid experience in IT infrastructure provisioning and management; ;- Experience in infrastructure architecture design; ;- Experience in implementing enterprise grade server virtualisation, networking, storage, backup and monitoring platform; ;- Experience in implementing security infrastructure and compliance activities such as security risk assessment and audit (SRAA); ;- Experience in implementing large scale critical government systems with 7x24, high availability and disaster recovery requirements; and ;- Experience in performing quality control of IT services provided by contractor. ; ;Travelling within HKSARG, such as visiting user departments' offices at remote locations or entry/exit control points, may be required. ;Technical Skills: ;. At least 4 years' experience in Server Virtualisation Technology (SVT); ;. At least 3 years' experience in Network & System Management (NSM); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 3 years' experience in Infrastructure (INF); ;. 1 year's experience in J2EE Development (JDE) is an advantage; ;. 1 year's experience in Multi-vendor Mission Critical System (MCS) is an advantage; ;. 1 year's experience in Multi-tier System Integration (MSI) is an advantage; ;. 1 year's experience in Unified Modeling Language (UML) is an advantage; ;. 1 year's experience in XML (XML) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in the management and support of Government systems and services (GSS); ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. Good spoken English is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,19 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32878"")"
32946,Contract Systems Analyst (Bid Ref 52929-1),1,Others,Contract,05 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Central,N/A - N/A,"""(T26) Provide technical expertise and support for the management and/or implementation of IT projects/systems of the Public Service Commission (""""PSC""""), which include conducting analysis, design and development of workflow management and case processing system, implementing server and client systems, assessing procurement needs and preparing procurement documents and conducting IT security risk and privacy impact assessments.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;To assist in overall management/implementation and quality assurance of IT projects/systems, which include but are not limited to the following tasks and responsibilities: ;- providing technical advice and support for the management and/or implementation of IT projects/systems, including post-implementation tasks covering system enhancement, maintenance and troubleshooting; ;- assisting in monitoring progress of the project/system-related initiatives and contractor performance; ;- liaising and coordinating among PSC users, contractors and other relevant parties; ;- assisting in identifying and resolving project/system issues in the course of project/system implementation, development, management and maintenance; ;- preparing and conducting system testing and user acceptance; ;- reviewing and commenting on project deliverables to assure their quality and compliance with Government standards; ;- assisting in reporting project progress; ;- identifying and assessing procurement needs and preparing procurement documents; ;- preparing and maintaining system documentation; and ;- assisting in supervising IT support staff in the provision of system operations, maintenance and support services. ;""",4.0,1.0,"""Must have: ;a. a minimum of 2 year's experience in a similar post and in a comparable capacity for IT projects; ;b. a minimum of 2 years' experience in Working with/in the HKSAR Government in relation to IT projects; ;c. a minimum of 2 year's experience in Network and System Management; ;d. a minimum of 2 year's experience in System Implementation and Maintenance/Support; ;e. a minimum of 2 year's experience in Web Hosting, Design and Maintenance; ;f. a minimum of 1 year's experience in Document Flow/Workflow Management System involving classified information and personal data. ;Priority will be given to candidates with business knowledge in areas related to document management or workflow management involving classified information and personal data. ;Technical Skills: ;. At least 2 years' experience in Network & System Management (NSM); ;. At least 2 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Web Hosting, Design and Maintenance (WED); ;. At least 1 year's experience in Document Flow/Workflow Management System (DOC); ;. 1 year's experience in Disaster Recovery Planning (DRP) is an advantage; ;. 1 year's experience in Electronic Form (EFM) is an advantage; ;. 1 year's experience in HTML5 (HT5) is an advantage; ;. 1 year's experience in Infrastructure (INF) is an advantage; ;. 1 year's experience in IT Security (ITS) is an advantage; ;. 1 year's experience in Storage Area Network (SAN) is an advantage; ;. 1 year's experience in IT Application Development and Management (ADM) is an advantage; ;. 1 year's experience in Data Management (DMT) is an advantage; ;. 1 year's experience in Structured Query Language (SQL) is an advantage; ;. 1 year's experience in Server Virtualisation Technology (SVT) is an advantage; ;. 1 year's experience in Windows 7/8/10 (W10) is an advantage; ;. 1 year's experience in Windows Server 2008/2012 (W12) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. 1 year's experience in the management and support of Government systems and services (GSS) is an advantage; ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. Good written English is an advantage; ;. 1 year's experience in project management (PRM) is an advantage; ;. 1 year's experience in IT Service Management (SMG) is an advantage; ;. 1 year's experience in contract administration (CON) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,19 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32946"")"
32845,Contract Systems Analyst (Bid Ref 53480-1),1,Others,Contract,04 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Cheung Sha Wan or other locations inside HKSAR as assigned by the Government,N/A - N/A,"""(T26) Application and system design, quality assurance, support, documentation and staff supervision""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TRY; ;- To carry out user requirement study, analysis and design, programming, implementation activities, monitoring and quality assurance, conduct system test, support UAT, prepare documentation, etc. for development of new applications and implementation of enhancements;- To provide application and system support on web applications running on Java application servers ;""",4.0,1.0,"""- Solid experience in design and development of applications using Hibernate, SOAP, XML and Java application in Spring framework;- Experience in supporting applications under GCIS PaaS (EGIS) and Jboss infrastructures;- Knowledge in interfacing mechanism with external financial institutions including banks is preferred;- May be required to carry pager and provide support system support (on site if necessary) outside office hours ;Technical Skills: ;. At least 2 years' experience in EGIS (EGI); ;. At least 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 2 years' experience in JBoss Application Server (JAS); ;. At least 2 years' experience in Microsoft SQL Server (MSS); ;. At least 2 years' experience in Oracle RDBMS (ODB); ;. 2 years' experience in Project Management Professional (PMP) (PMP) is an advantage; ;. 2 years' experience in Tomcat Application Server (TOM) is an advantage; ;. 2 years' experience in Web Services (WSV) is an advantage; ;. 2 years' experience in DB2 (DB2) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. Good written English is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,18 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32845"")"
33112,Contract Systems Analyst (Bid Ref 53568-1),1,Application Development,Contract,17 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Grand Central Plaza,138 Shatin Rural Committee Road, Shatin,",N/A - N/A,"""(T26) Management and development of EPD's Environment Cluster in GovHK, Departmental Portal, and IT-related knowledge management programmes""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the EPD; ;1. Development and implementation of IT-related programmes to facilitate knowledge management in EPD;;2. Management, monitoring and improvement of the taxonomy of the Departmental Portal;;3. Monitoring and enhancement of the Environment Cluster and other EPD-participated clusters in GovHK, and provision of associated technical and administrative support;;4. Technical liaison with contactors, project teams in government departments, and relevant stakeholders in the development and implementation of knowledge management programmes and projects. ;""",10.0,5.0,"""1. Degree in Information Technology or related discipline; ;2. A high level of motivation and creativity; ;3. Good problem solving capability; and;4. Ability to work in a fast-paced and project driven environment ;Technical Skills: ;. At least 8 years' experience in IT Application Development and Management (ADM); ;. At least 6 years' experience in Knowledge Management Technology (KMT); ;. At least 5 years' experience in Departmental Portal (DPS); ;. 8 years' experience in SSADM (SDM) is an advantage; ;. 8 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 4 years' experience in Web 2.0 Services (W2S) is an advantage. ;Non-technical Skills: ;. At least 8 years' experience in managing Government projects (IEG); ;. At least 4 years' experience in IT service/outsourcing management (OUT); ;. At least 4 years' experience in tender preparation and administration (TPA). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,03 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33112"")"
33071,Contract Systems Analyst (Bid Ref 53610-1),1,Others,Contract,14 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Mainly in Wanchai,N/A - N/A,"""(T26) To provide assistance in ICT-related project development and implementation""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKPF; ;1. Be responsible for managing and implementing the information security projects, which include:;-Administering and maintaining the IT Forensic Laboratory of the division;;- Evaluating and advising on data interoperability and accessibility of various enterprise systems with a view to formulating security policy, standard and governance structure;;-Evaluating and monitoring the implementation of Business Continuity Plan of enterprise systems; and;-Conducting researches on information security related technology, example WiFi security, phishing, data theft, etc.;-Implementing and maintaining information security projects, including social analytics, APT, SIEM;;2. Supervise a team to discharge IT security audits from planning to post-audit review and preparing reports;;3. Perform IT security audits on enterprise systems and all police formations, ranging from review of relevant documentation to penetration tests and vulnerability scanning;;4. Assist the supervisor(s) to handle information security incidents, breaches or violations, and to ensure prompt follow-up actions being taken, including data analytics;;5. Provide technical advice on information security related projects and IT security assessments or audits. ;""",6.0,2.0,"""Security Vetting is required.;Minimum 3 years of experience in relevant IT field is preferable;CISA/CISSP/CISM is preferable. ;Technical Skills: ;. At least 6 months' experience in IT Application Development and Management (ADM); ;. At least 6 months' experience in IT Security (ITS). ;Non-technical Skills: ;. At least 6 months' experience in IT audit (ITA); ;. Good written English is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,28 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33071"")"
32981,Contract Systems Analyst (Bid Ref 52927-1),1,Others,Contract,06 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Yau Ma Tei / Mong Kok / Kwun Tong / Taikoo / Kowloon Bay,N/A - N/A,"""(T26) Application and System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the BD; ;a. Conduct the duties and act as the Project Administrator for the computer project(s) assigned by the BD;;b. Assist the Internal Project Manager in the following capacities:;- Plan and control all phases of the computer project(s) including, but not limited to, feasibility study, privacy impact analysis, systems analysis and design, procurement and installation of computer systems, site preparation, programming, implementation, security risk assessment and audit, privacy impact analysis, system;nursing and maintenance in relation to all computer systems life cycle activities and service delivery;;- Deliver the computer project(s) within budget and time;;- Estimate the budget and monitor the resources and expenditures of the computer project(s);;- Plan and conduct procurement activities including, but not limited to, the acquisition of necessary implementation services, hardware and software, services for security risk assessment and audit, privacy impact analysis, payment agency services, business process re-engineering;;- Manage outsourcing contracts / vendors for computer project(s);;- Develop project management plans and quality control parameters and perform quality control and assurance of all project deliverables;- Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;- Assist supervisors in vendor management;;- Assist supervisors in managing outsourcing services including quality assurance of deliverables, service acceptance;;- Participate in procurement processes of IT systems, products and services;;- Research on updated technology, support supervisors in providing technical advice to management, user or community as appropriate;;c. Perform other IT-related duties in the capacity as Project Administrator/Systems Analyst or as instructed by BD. ;""",8.0,2.0,"""(i) The proposed candidate(s) must have solid working experiences in implementation / maintenance of at least one IT project relating to buildings in Hong Kong.;(ii) The proposed candidate(s) must have at least 48 months of solid working experiences in server infrastructure, server virtualization technology and networking.;(iii) The proposed candidate(s) must have at least 4 months of solid working experiences in at least one IT project relating to document management system and knowledge management.;(iv) The proposed candidate(s) must have at least 4 months of solid working experiences in supporting Geographical Information System (GIS) for Hong Kong private buildings and worksites which adopts i-Series Digital Map, Common Spatial Units data and Outline Zoning Plan.;(v) The proposed candidate(s) must have solid working experiences in contributing Building Framework Spatial Data Theme (FSDT) under Common Spatial Data Infrastructure (CSDI).;(vi) The proposed candidate(s) must have solid working experiences in supporting government mobile application (mobile apps) relating to the building industry in Hong Kong using iAMSmart and Government Cloud Infrastructure Services.;(vi) Any bids that fail to meet the above requirements and the mandatory requirements or the proposed candidate(s) cannot report duty on or before 1 April 2025 would not be considered. ;Technical Skills: ;. At least 4 years' experience in Infrastructure (INF); ;. At least 4 years' experience in Networking (NET); ;. At least 4 years' experience in Server Virtualisation Technology (SVT); ;. At least 3 years' experience in Microsoft SQL Server (MSS); ;. At least 1 year's experience in SQL*PLUS/PL/SQL/PRO*C (OPL); ;. 2 years' experience in Oracle RDBMS (ODB) is an advantage; ;. 1 year's experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. 3 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 2 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32981"")"
