Job Key No,Job Title/ Category,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL
Added : ,,,,,,,,,,,,,,,,,,,,
33232,Contract Systems Analyst (Bid Ref 52758-1),1,Application Development,Contract,24 Mar 2025,01 May 2025 to 01 Jan 2027 (20 months),under InfoTech,Government T26 Contract,WSD premises (major in Wan Chai),N/A - N/A,"""(T26) To assist engineer for system administration and configuration of Knowledge Management System, development of various projects and administration of contractors, etc.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WSD; ;1. System administration and configuration of Knowledge Management System in SharePoint Platform;;2. Design, analyze, develop and implement new applications and systems;;3. Assist engineer to prepare technical reports, specifications and manuals for IT systems;;4. Perform the DR and Fall-back drill and plan;;5. Perform routine web content editing and management for WSD intranet and internet websites;;6. Management and administration of contractors;;7. Assist engineer to handle miscellaneous tasks including vendor liaison, system integration testing, user acceptance testing and ad hoc tasks and etc.;8. To undertake any other duties assigned by supervisors. ;""",8.0,4.0,"""1. Bachelor's degree in computer science;;2. Ability to perform process design and system analysis;;3. Knowledge of logic and relational database design;;4. Knowledge of all phases of system development life cycle;;5. Project management experience; ;6. Work experience in WSD is desirable ;Technical Skills: ;. At least 6 years' experience in IT Application Development and Management (ADM); ;. At least 6 years' experience in Client/Server Application Development (C/S); ;. At least 6 years' experience in Structured Query Language (SQL); ;. At least 5 years' experience in Microsoft SQL Server (MSS); ;. At least 5 years' experience in PHP programming (PHP); ;. At least 5 years' experience in Internet/ Intranet (INT); ;. At least 5 years' experience in JavaScript Programming (JAP); ;. At least 2 years' experience in Microsoft Officer SharePoint Server Administration (MSP); ;. 6 years' experience in MySQL (MSQ) is an advantage; ;. 6 years' experience in Data Management (DMT) is an advantage; ;. 6 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 6 years' experience in System Backup Operation (BKO) is an advantage; ;. 6 years' experience in HTML version before HTML5 (HTM) is an advantage; ;. 6 years' experience in Web 2.0 Services (W2S) is an advantage; ;. 5 years' experience in Website Administration (WEA) is an advantage; ;. 5 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 5 years' experience in Microsoft Internet Information Services (MIS) is an advantage; ;. 5 years' experience in Enterprise Application Integration (EAI) is an advantage; ;. 5 years' experience in Data/File Backup Technology (DFT) is an advantage; ;. 5 years' experience in Data Modeling (DMO) is an advantage; ;. 4 years' experience in Microsoft Active Server Page Scripting (ASP) is an advantage; ;. 4 years' experience in JAVA Programming (JAV) is an advantage; ;. 4 years' experience in Visual Basic (VBC) is an advantage; ;. 3 years' experience in Apache Web Server (AWS) is an advantage; ;. 3 years' experience in batch job monitoring (BJM) is an advantage; ;. 3 years' experience in C++ (C++) is an advantage; ;. 2 years' experience in Data Encryption Technology (DET) is an advantage; ;. 2 years' experience in VBA (VBA) is an advantage; ;. 2 years' experience in Web Hosting, Design and Maintenance (WED) is an advantage; ;. 1 year's experience in XML (XML) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in Business Process Re-engineering (BPE); ;. At least 5 years' experience in managing Government IT standards (ITG); ;. At least 5 years' experience in IT Service Management (SMG); ;. At least 5 years' experience in software testing (STM); ;. At least 2 years' experience in tender preparation and administration (TPA); ;. At least 2 years' experience in helpdesk call handling (HDT); ;. Excellent written English is an advantage; ;. 5 years' experience in managing Government projects (MGP) is an advantage; ;. 4 years' experience in vendor management (VMG) is an advantage; ;. 4 years' experience in conducting IT training/briefing (ITT) is an advantage; ;. 4 years' experience in Government information system strategy study/review (GSR) is an advantage; ;. 4 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 3 years' experience in Government tendering procedures (GTP) is an advantage; ;. 3 years' experience in presentation (PEX) is an advantage; ;. 2 years' experience in contract administration (CON) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,10 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33232"")"
31080,Contract Systems Analyst (Bid Ref 52376-3),1,Others,Contract,24 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,North Point/ Kowloon Bay,N/A - N/A,"""(T26) IT support for maintenance and enhancement of eHealth+ of Health Bureau""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HHB; ;Main Duties and Responsibilities:;1. To provide support for electronic health record data sharing developments and enhancements from healthcare providers and/or healthcare professionals;;2. To prepare and provide assistance to eHealth+ related meetings such as Working Group on Data and Information Standard (WG-IS), Technical Task Force (TTG) meetings, etc;;3. To provide assistance in technical review on system enhancements and newly added system features/ functions;;4. To liaise with Hospital Authority (HA), Department of Health (DH), Digital Policy Office (DPO), IT service contractors and other healthcare providers or professionals for the maintenance of management reports, new function and enhancement implementations; ;5. To prepare and review eHeatlh+ related documents and generate reports and/or summary to management;;6. To provide technical support in service delivery and operations of eHealth+ such as inventory management, connectathon preparation; and;7. To provide technical support to healthcare professionals and providers for eHealth+ including data compliance test. ;""",4.0,1.0,"""It is required to have professional knowledge and solid experience in IT planning and IT operational management of large-scale application, working experience with Governments projects and good English & Chinese communication and writing skills. Work experience in vendor management is also preferable. ;Technical Skills: ;. At least 4 years' experience in IT Operational Management (OPM); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in IT Planning (ITP). ;Non-technical Skills: ;. At least 4 years' experience in Clinical Related Information System (CRS); ;. At least 3 years' experience in work with the Government (GOV); ;. 2 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,10 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31080"")"
33242,Contract Senior Systems Analyst (Bid Ref 53767-1),1,Others,Contract,24 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Room 613, 6/F, West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) To provide enquiry and advisory services to support Bureaux and Departments (B/Ds) in leave application, processing, calculation and recording.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;- To handle day-to-day enquiries/requests from B/Ds about e-Leave system as well as resolving reported problems;;- To escalate unresolved service calls to respective maintenance teams and system owner; and;- To provide support for user acceptance testing, deployment and rollout of e-Leave system, etc. ;""",6.0,4.0,"""- Possess good knowledge of system functions and installation details of e-Leave system and its integration with Departmental Portal;;- Have extensive practical experience in customer service and helpdesk support;;- Prefer to have previous experience in Lotus Notes Domino email system; and;- Proficient in written and verbal English and Chinese. ;Technical Skills: ;. At least 4 years' experience in e-Leave (ELE); ;. At least 4 years' experience in JBoss Application Server (JAS); ;. At least 4 years' experience in J2EE Development (JDE); ;. At least 4 years' experience in Apache Web Server (AWS); ;. At least 4 years' experience in Departmental Portal (DPS); ;. 6 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 3 years' experience in Structured Query Language (SQL) is an advantage; ;. 3 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 3 years' experience in MySQL (MSQ) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in helpdesk call handling (HDT); ;. At least 4 years' experience in customer relations (ECR); ;. 4 years' experience in work with the Government (GOV) is an advantage; ;. Good coordination skills is an advantage; ;. 4 years' experience in project development in the specified business area (IPD) is an advantage; ;. 4 years' experience in managing Government IT standards (ITG) is an advantage; ;. Excellent written English is an advantage; ;. 4 years' experience in managing Government projects (MGP) is an advantage; ;. 3 years' experience in project management (PRM) is an advantage; ;. 3 years' experience in quality assurance (QAS) is an advantage; ;. 3 years' experience in quality management (QMT) is an advantage; ;. 3 years' experience in software testing (STM) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,10 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33242"")"
33234,Contract Systems Analyst (Bid Ref 53778-1),1,Others,Contract,17 Mar 2025,02 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Rm 210-213, 2/F, Yuen Long District Offices Building, 269 Castle Peak Road, Yuen Long, New Territori",N/A - N/A,"""(T26) To analyze, design, develop and implement a system using GIS open-source platform.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HAD; ;To develop, implement and support GIS system applications and burial objects database but not limited to:-;&;#12290; Systems analysis design and development of GIS system using GeoServer / ArcGIS Server;&;#12290; Open-source database design, administration and management ;&;#12290; Conduct program testing, system testing and develop systematic test cases to support user acceptance test;&;#12290; Conduct quality assurance, verification and rectification of data and applications;&;#12290; System analysis and development of spatial analytic tool for web system ;&;#12290; Lead the junior and technical staff for preparing system specification and data compilation ;&;#12290; Assist in preparing project reports and specifications;&;#12290; Perform any other duties as assigned by supervisor ;""",8.0,2.0,"""- Degree in computer subjects or related disciplines;- At least 8 years hands-on experience in IT application development in which 2 years&;#8217; experience in open source platform ;- Solid experience in web application and/or mobile application systems using Java, Node.js, MySQL;- Experience in both SQL and NoSQL database is preferred;- Experience in containers technologies is preferred (e.g. Kubernetes, Docker) ;- Experience with scalable networking technologies (e.g. Load Balancers, Firewalls) and web standards (e.g. REST APIs) ;- Knowledge in Linux platform is required;- Creative, analytical, self-initiative, responsible and well-organized;- Good knowledge and experience in system design and database design;- Strong commitment to project deadline and delivering high quality work;- Excellent self-study skill and be able to work independently ;Technical Skills: ;. At least 8 years' experience in Apache Web Server (AWS); ;. At least 8 years' experience in Client/Server Application Development (C/S); ;. At least 8 years' experience in JavaScript Programming (JAP); ;. At least 8 years' experience in Structured Query Language (SQL); ;. At least 8 years' experience in Web Programming (WEB); ;. At least 8 years' experience in Web Hosting, Design and Maintenance (WED); ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in Data Architecture (DAR). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,10 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33234"")"
33241,Contract Systems Analyst (Bid Ref 53371-1),1,Others,Contract,24 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Room 613, 6/F., West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) Project initiation, implementation and support of IT projects proposed in the Departmental IT Plan of CSB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;A Systems Analyst is mainly deployed to perform the following duties:;1. Responsible for feasibility study, implementation, development, system maintenance and support of IT systems and services;;2. Provide delivery works including application and/or system programming, feasibility study, design, testing, system acceptance, data conversion, training, capacity planning, technical support and quality assurance;;3. Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;4. Assist supervisors in vendor management;;5. Assist supervisors in managing outsourcing services including quality assurance of deliverables and service acceptance;;6. Assist supervisors in reviewing the technical architecture proposed by vendors and conducting technical study on new technologies;;7. Participate in procurement processes of IT systems, products and services;;8. Support supervisor in providing technical advice to management, user or community as appropriate;;9. Perform evaluation and research of new hardware, software and technologies; ;10. Provide problem resolution for system failure that may happen outside normal office hours; and;11. Assist supervisors in initiation, implementation and maintenance support of other IT projects proposed in the Departmental IT Plan of CSB. ;""",6.0,4.0,"""1. Bachelor degree or equivalent;;2. At least six (6) years' post-qualification full-time IT experience of which at least four (4) years must be in a similar post and in a comparable capacity;;3. Experience in software development methodology e.g. SSADM;;4. Experience in Object-oriented programming and Java technology;;5. Strong analytical and problem solving skills;;6. Good interpersonal and communication skills; and;7. Good oral and written communication skills in both Chinese (essentially Cantonese) and English. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in PRINCE (PRE); ;. At least 4 years' experience in SSADM (SDM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 4 years' experience in JAVA Programming (JAV); ;. 4 years' experience in XML (XML) is an advantage; ;. 3 years' experience in Data Modeling (DMO) is an advantage; ;. 3 years' experience in Enterprise Application Integration (EAI) is an advantage; ;. 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 3 years' experience in J2EE Development (JDE) is an advantage; ;. 2 years' experience in Departmental Portal (DPS) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in managing Government projects (IEG); ;. At least 3 years' experience in IT service/outsourcing management (OUT); ;. At least 3 years' experience in vendor management (VMG); ;. 3 years' experience in Government tendering procedures (GTP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,10 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33241"")"
33211,Contract Systems Analyst (Bid Ref 53709-1),1,Application Development,Contract,21 Mar 2025,01 May 2025 to 31 Jan 2027 (21 months),under InfoTech,Government T26 Contract,Kowloon Bay,N/A - N/A,"""(T26) 1. Lead, participate, monitor and support in digital transformation in EMSD with leading-edge technologies, including Agentic AI Projects, Semantic AI Development Projects, Integrated Building Management Projects, and Energy Saving Projects, and mission critical tasks such as awards / event racings and exhibition works. ;2. Lead, participate, analyze, design, support, test and document all the processes within the software development life cycle and work with multiple units in department to meet internal IT guideline, DPO standards during different stages. ;3. Lead, Monitor and support multiple IT systems and its services, including integrated Building Management System (iBMS), Digital Document System (DDS), Digital Operation & Maintenance System (DOMS), EMSD AI Platform, EMSD Big Data Platform, Regional Digital Control Centre (RDCC) TV Wall, etc.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the E&MSD; ;1. Conduct user requirements gathering, system analysis, design applications. Lead and perform coding, testing and deployment of application programs, leveraging cutting-edge AI technologies, particularly Large Language Models (LLMs), machine learning, and emerging AI solutions; ;2. Lead and perform test plan, test cases/scripts, testing/ pre-production environment, perform Unit Test, System Integration Test, UAT; ;3. Lead and perform system health check, Root Cause Analysis, Problem and Issues Reporting; ;4. Lead system implementation of proof-of-concepts, perform technical studies, and execute related projects; ;5. Lead and conduct pilot testing and technical evaluations of emerging technologies across multiple platforms and software stacks; ;6. Coordinate with contractors to oversee project progress and ensure deliverable quality standards; ;7. Develop comprehensive user manuals and technical documentation; ;8. Collaborate with stakeholders, developers, and vendors for requirement capture, system design, implementation, testing, and rollout; ;9. Perform any related tasks as assigned by Senior Engineer/Engineer(s); ;10. To undertake any other duties as required by supervisor(s). ;""",5.0,2.0,"""1. Bachelor's Degree in Information Technology / Computer Science / Information Engineering or equivalent; ;2. Strong programming skills in Python, JavaScript, and Java, with comprehensive understanding of Software Development Life Cycle; ;3. Proven ability to conduct thorough feasibility studies, user requirements gathering, and system analysis & design; ;4. Proficiency in SQL and NoSQL databases with data modeling and query optimization skills (MongoDB, MS SQL, and MySQL); ;5. Experience in web application development, RESTful API design, and development and integration; ;6. Basic machine learning concepts, and statistical analysis skills is a plus; ;7. Desirable experience in cloud platforms (AWS), and geospatial analysis; ;8. Good hands on knowledge in Windows, Linux or other operating system(s) is a definite advantage; ;9. Good troubleshooting and debugging skills; ;10. Strong analytical and problem-solving skills; ;11. Good technical documentation and communication skills; ;12. Ability to quickly adapt and learn new technologies and systems; ;13. Self-motivated with ability to work in a collaborative environment; ;14. Creative, self-initiative, responsible, well-organized, and work independently on complex tasks. ;Technical Skills: ;. At least 5 years' experience in Data Modeling (DMO); ;. At least 5 years' experience in Data Management (DMT); ;. At least 5 years' experience in Geographic Information System (GIS); ;. At least 5 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in Linux System Administration (LIN); ;. At least 4 years' experience in MySQL (MSQ); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 2 years' experience in Project Management Professional (PMP) (PMP); ;. At least 2 years' experience in Data Encryption Technology (DET); ;. 5 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 4 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 4 years' experience in PHP programming (PHP) is an advantage; ;. 4 years' experience in JAVA Programming (JAV) is an advantage; ;. 4 years' experience in Apache Web Server (AWS) is an advantage; ;. 4 years' experience in HTML version before HTML5 (HTM) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in IT Service Management (SMG); ;. At least 4 years' experience in software testing (STM); ;. At least 4 years' experience in vendor management (VMG); ;. At least 4 years' experience in project management (PRM); ;. Good coordination skills is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,07 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33211"")"
33243,Contract Systems Analyst (Bid Ref 53768-1),1,Others,Contract,24 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Room 613, 6/F, West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) To maintain and support web-based application systems to support Bureaux and Departments in leave application, processing, calculation and recording.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;- To participate in development and maintenance of web-based applications in J2EE standards;;- To support user acceptance testing, deployment and rollout; and;- To respond to user enquiries. ;""",5.0,3.0,"""Proposed candidate should have experience in JBoss Application Server, Java Servlet and Enterprise Java Beans. ;Technical Skills: ;. At least 4 years' experience in Apache Web Server (AWS); ;. At least 4 years' experience in Departmental Portal (DPS); ;. At least 4 years' experience in Enterprise Java Beans Development (EJB); ;. At least 4 years' experience in e-Leave (ELE); ;. At least 4 years' experience in Java Servlet Programming (JSP); ;. At least 4 years' experience in JBoss Application Server (JAS); ;. 4 years' experience in J2EE Development (JDE) is an advantage; ;. 4 years' experience in XML (XML) is an advantage; ;. 4 years' experience in JavaScript Programming (JAP) is an advantage; ;. 3 years' experience in Java Beans Development (JVD) is an advantage; ;. 3 years' experience in MySQL (MSQ) is an advantage; ;. 3 years' experience in Structured Query Language (SQL) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in project development in the specified business area (IPD); ;. 4 years' experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,10 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33243"")"
30523,Contract Systems Analyst (Bid Ref 51868-2),1,Application Development,Contract,10 Mar 2025,03 Mar 2025 to 27 Feb 2026 (11 months),under InfoTech,Government T26 Contract,West Kowloon Government Offices (Yau Ma Tei),N/A - N/A,"""(T26) 1) Project administration and technical support on IT projects and systems;2) Planning, design and implementation of IT projects and systems; ;3) Support and maintenance of IT projects and systems; and;4) Manage and support UAT of IT projects and systems.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TD; ;1) To implement, UAT and support of IT projects including the Traffic Data Analytics System (TDAS) on Government Cloud Infrastructure Services (GCIS) and Big Data Analytics Platform (BDAP);;2) To provide support on the system enhancmenet and on-going maintenance support of TDAS and other IT systems;;3) To implement, UAT and support of TDAS and other IT projects in relation to Web Application, GCIS Implementation, Database;;4) To implement procurement of IT hardware, software and services;;5) To manage and coordinate with the contractors and related parties in supporting new projects and existing systems; and;6) To perform any other IT-related duties as directed from time to time. ;""",4.0,2.0,"""1) Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent;;2) Proven experience in development/implementation and supporting Artificial Intelligent applications/projects in the Government or private sectors;;3) Good knowledge and hand on experience on cloud based applications system, networking and database;;4) Good knowledge and hand on experience on Bash Scripting, Docker, Kubernetes, Nginx, HAproxy, Ubuntu, Kafka, Redis, PostgresSQL, Infrastructure design (networking, load balancing, CDN), automation and CI/CD Pipeline;;5) Good knowledge of programming language on Python, Java and Angular;;6) Knowledge on Machine Learning concepts and algorithms (e.g., predictive modelling, anomaly detection, computer vision) will be in advantages; and;7) Good communication and English writing skill. ;Technical Skills: ;. At least 4 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in Linux System Administration (LIN); ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 4 years' experience in Tomcat Application Server (TOM); ;. At least 4 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 4 years' experience in Web Programming (WEB); ;. At least 3 years' experience in Network & System Management (NSM); ;. 2 years' experience in Internet Firewall Technical Support (IFW) is an advantage; ;. 2 years' experience in Enterprise Application Integration (EAI) is an advantage; ;. 2 years' experience in MySQL (MSQ) is an advantage; ;. 2 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 1 year's experience in Intruder Detection/Alert Technology (IDA) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in site preparation (SPE); ;. At least 2 years' experience in software testing (STM); ;. At least 2 years' experience in tender preparation and administration (TPA); ;. At least 2 years' experience in vendor management (VMG); ;. 2 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 1 year's experience in Government tendering procedures (GTP) is an advantage; ;. Good spoken English is an advantage; ;. Good written English is an advantage; ;. 1 year's experience in IT service/outsourcing management (OUT) is an advantage; ;. 1 year's experience in IT procurement (PRO) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,03 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=30523"")"
33068,Contract Project Manager (Bid Ref 53646-2),1,Others,Contract,17 Mar 2025,01 Apr 2025 to 30 Sep 2025 (5 months),under InfoTech,Government T26 Contract,Kowloon Bay,N/A - N/A,"""(T26) Manage IT projects, and facilitate the collaboration among stakeholders, including users and technical teams in Social Welfare Department (SWD), Government Bureaux/Departments and relevant organisations, and outsourced contractors, during the implementation/maintenance stages of information systems.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the SWD; ;- Collaborate with SWD services branches and users to identify technology needs and provide tailored solutions. ;- Implement IT policies, procedures, and best practices to ensure efficient and safe implementation / operations of IT systems. ;- Manage technical staff to develop new IT systems for SWD, oversee the maintenance of existing applications, database systems in SWD. ;- Manage project team efforts for IT initiatives, including defining scope, timelines, and resource allocation. ;- Supervise in-house development team and outsourced contractors for implementing IT projects and on-going system maintenance. ;- Provide technical advice to management and users regarding better use of IT technologies, design of systems, streamline of business process, and project management processes. ;- Perform any other IT related tasks assigned by the supervisor. ;""",14.0,5.0,"""- Solid experience in application system development and project management. ;- Strong understanding of IT security principles and best practices in system development and maintenance stage. ;- Experience in IT system operation and technical support. ;- Experience in vendor management, contract management and IT outsourcing. ;- Effective communication skills, both verbal and written, for engaging with technical and non-technical stakeholders. ;- Experience in web application development, database management, and website management. ;- Knowledge in Microsoft and open source development platforms. ;Technical Skills: ;. At least 4 years' experience in Enterprise Application Integration (EAI); ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in IT Security (ITS); ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. 4 years' experience in Data Management (DMT) is an advantage; ;. 4 years' experience in J2EE Development (JDE) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. At least 4 years' experience in managing Government projects (MGP); ;. At least 4 years' experience in IT service/outsourcing management (OUT); ;. At least 4 years' experience in project management (PRM). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 14 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,07 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33068"")"
